title,date,price,cats,final_bidder,auctioneer,img,url,auctioneer_url
NAZI DLV BADGE WITH AN ENAMEL BACKGROUND AND SWASTIKA,"Oct 22, 2011",,Collectibles > Historical Memorabilia,,Universal Live,https://p1.liveauctioneers.com/1011/26863/10117596_1_x.jpg?quality=80&version=1318637396,https://www.liveauctioneers.com/item/10117596_nazi-dlv-badge-with-an-enamel-background-and-swastika,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
QUALITY EAGLE HEAD NAZI BAYONET W/SWASTIKA-WELL MADE,"Oct 22, 2011",,,,Universal Live,https://p1.liveauctioneers.com/1011/26863/10117600_1_x.jpg?quality=80&version=1318637396,https://www.liveauctioneers.com/item/10117600_quality-eagle-head-nazi-bayonet-wswastika-well-made,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
ORIGINAL NAZI BLACK WOUND BADGE HELMET SWASTIKA SWORDS,"Oct 22, 2011",,,,Universal Live,https://p1.liveauctioneers.com/1011/26863/10117603_1_x.jpg?quality=80&version=1318637396,https://www.liveauctioneers.com/item/10117603_original-nazi-black-wound-badge-helmet-swastika-swords,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
ORIGINAL NAZI KRIEGSMARINE DESTROYER WAR BADGE,"Oct 22, 2011",,Collectibles > Historical Memorabilia,,Universal Live,https://p1.liveauctioneers.com/1011/26863/10117609_1_x.jpg?quality=80&version=1318637396,https://www.liveauctioneers.com/item/10117609_original-nazi-kriegsmarine-destroyer-war-badge,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
ORIGINAL NAZI WOMENS FRAUENSCHAFT WITH SWASTIKA,"Oct 22, 2011",,Collectibles,,Universal Live,https://p1.liveauctioneers.com/1011/26863/10117619_1_x.jpg?quality=80&version=1318637396,https://www.liveauctioneers.com/item/10117619_original-nazi-womens-frauenschaft-with-swastika,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
"ORIGINAL NAZI ""SA"" DRL SPORTS BADGE WITH SWASTIKA","Oct 22, 2011",,Collectibles > Historical Memorabilia,,Universal Live,https://p1.liveauctioneers.com/1011/26863/10117623_1_x.jpg?quality=80&version=1318637396,https://www.liveauctioneers.com/item/10117623_original-nazi-sa-drl-sports-badge-with-swastika,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
NAZI WAR MERIT CROSS NO SWORDS (CIVILIAN) WITH RIBBON,"Oct 22, 2011",,,,Universal Live,https://p1.liveauctioneers.com/1011/26863/10117629_1_x.jpg?quality=80&version=1318637396,https://www.liveauctioneers.com/item/10117629_nazi-war-merit-cross-no-swords-civilian-with-ribbon,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
BRONZE NAZI WAR MERIT CROSS 1939 SWASTIKA ON MALTESE,"Oct 22, 2011",,,,Universal Live,https://p1.liveauctioneers.com/1011/26863/10117642_1_x.jpg?quality=80&version=1318637396,https://www.liveauctioneers.com/item/10117642_bronze-nazi-war-merit-cross-1939-swastika-on-maltese,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
ORIGINAL M-43 CAP EAGLE AND SWASTIKA TRAPEZOID MINT,"Oct 22, 2011",,Collectibles,,Universal Live,https://p1.liveauctioneers.com/1011/26863/10117644_1_x.jpg?quality=80&version=1318637396,https://www.liveauctioneers.com/item/10117644_original-m-43-cap-eagle-and-swastika-trapezoid-mint,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
RARE ORIG M16 EARLY NAZI FREIKORPS HELMET W/SWASTIKA,"Oct 22, 2011",,,,Universal Live,https://p1.liveauctioneers.com/1011/26863/10117678_1_x.jpg?quality=80&version=1318637396,https://www.liveauctioneers.com/item/10117678_rare-orig-m16-early-nazi-freikorps-helmet-wswastika,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
ORIGINAL MINIATURE NAZI IWOUND BADGE WITH SWASTIKA,"Oct 22, 2011",,Collectibles > Historical Memorabilia,,Universal Live,https://p1.liveauctioneers.com/1011/26863/10117695_1_x.jpg?quality=80&version=1318637396,https://www.liveauctioneers.com/item/10117695_original-miniature-nazi-iwound-badge-with-swastika,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
WWII Nazi Era Postcards and Ephemera Group of 2,"Apr 22, 2021",$10,Collectibles > Historical Memorabilia > Political Memorabilia,Internet Bid,Gold Eagle Auctions,https://p1.liveauctioneers.com/7302/200090/101212933_1_x.jpg?quality=80&version=1618099142,https://www.liveauctioneers.com/item/101212933_wwii-nazi-era-postcards-and-ephemera-group-of-2,https://www.liveauctioneers.com/auctioneer/7302/gold-eagle-auctions/
WWII Nazi Hitler Postcard 1938,"Apr 22, 2021",$20,Collectibles,Internet Bid,Gold Eagle Auctions,https://p1.liveauctioneers.com/7302/200090/101212939_1_x.jpg?quality=80&version=1618099142,https://www.liveauctioneers.com/item/101212939_wwii-nazi-hitler-postcard-1938,https://www.liveauctioneers.com/auctioneer/7302/gold-eagle-auctions/
WWII Nazi Hitler Postcards Group of 4,"Apr 22, 2021",$20,Collectibles > Historical Memorabilia > Political Memorabilia,Internet Bid,Gold Eagle Auctions,https://p1.liveauctioneers.com/7302/200090/101212942_1_x.jpg?quality=80&version=1618858628,https://www.liveauctioneers.com/item/101212942_wwii-nazi-hitler-postcards-group-of-4,https://www.liveauctioneers.com/auctioneer/7302/gold-eagle-auctions/
WWII Nazi Propoganda Postal Card,"Apr 22, 2021",,Collectibles,,Gold Eagle Auctions,https://p1.liveauctioneers.com/7302/200090/101212950_1_x.jpg?quality=80&version=1618099142,https://www.liveauctioneers.com/item/101212950_wwii-nazi-propoganda-postal-card,https://www.liveauctioneers.com/auctioneer/7302/gold-eagle-auctions/
WWII Nazi Aviation Postcard Group of 8,"Apr 22, 2021",,Collectibles > Historical Memorabilia > Political Memorabilia,,Gold Eagle Auctions,https://p1.liveauctioneers.com/7302/200090/101212955_1_x.jpg?quality=80&version=1618858831,https://www.liveauctioneers.com/item/101212955_wwii-nazi-aviation-postcard-group-of-8,https://www.liveauctioneers.com/auctioneer/7302/gold-eagle-auctions/
WWII Nazi Postcards with Swastikas Group of 2,"Apr 22, 2021",$20,Collectibles > Historical Memorabilia > Political Memorabilia,Internet Bid,Gold Eagle Auctions,https://p1.liveauctioneers.com/7302/200090/101212961_1_x.jpg?quality=80&version=1618099142,https://www.liveauctioneers.com/item/101212961_wwii-nazi-postcards-with-swastikas-group-of-2,https://www.liveauctioneers.com/auctioneer/7302/gold-eagle-auctions/
"WWII Nazi Censored Censor Cover to Tehran, Iran","Apr 22, 2021",$10,Collectibles > Historical Memorabilia > Political Memorabilia,Internet Bid,Gold Eagle Auctions,https://p1.liveauctioneers.com/7302/200090/101212963_1_x.jpg?quality=80&version=1618099142,https://www.liveauctioneers.com/item/101212963_wwii-nazi-censored-censor-cover-to-tehran-iran,https://www.liveauctioneers.com/auctioneer/7302/gold-eagle-auctions/
Nazi German Occupation of Czech Cover and Card Grp of 2,"Apr 22, 2021",$40,Collectibles,Internet Bid,Gold Eagle Auctions,https://p1.liveauctioneers.com/7302/200090/101212965_1_x.jpg?quality=80&version=1618099142,https://www.liveauctioneers.com/item/101212965_nazi-german-occupation-of-czech-cover-and-card-grp-of-2,https://www.liveauctioneers.com/auctioneer/7302/gold-eagle-auctions/
Germany WWII Nazi Feldpost Cover and Card Group of 6,"Apr 22, 2021",$10,Collectibles > Historical Memorabilia > Political Memorabilia,Internet Bid,Gold Eagle Auctions,https://p1.liveauctioneers.com/7302/200090/101212971_1_x.jpg?quality=80&version=1618099142,https://www.liveauctioneers.com/item/101212971_germany-wwii-nazi-feldpost-cover-and-card-group-of-6,https://www.liveauctioneers.com/auctioneer/7302/gold-eagle-auctions/
Germany WWII Nazi Era Covers and Cards w/Swastika (8),"Apr 22, 2021",,Collectibles > Historical Memorabilia > Political Memorabilia,,Gold Eagle Auctions,https://p1.liveauctioneers.com/7302/200090/101212974_1_x.jpg?quality=80&version=1618859160,https://www.liveauctioneers.com/item/101212974_germany-wwii-nazi-era-covers-and-cards-wswastika-8,https://www.liveauctioneers.com/auctioneer/7302/gold-eagle-auctions/
Nazi Germany Estonia Occupation,"Apr 22, 2021",,Collectibles,,Gold Eagle Auctions,https://p1.liveauctioneers.com/7302/200090/101212980_1_x.jpg?quality=80&version=1618099142,https://www.liveauctioneers.com/item/101212980_nazi-germany-estonia-occupation,https://www.liveauctioneers.com/auctioneer/7302/gold-eagle-auctions/
Germany Nazi Era Cards and Ephemera Grooup of 8,"Apr 22, 2021",$10,Collectibles,Internet Bid,Gold Eagle Auctions,https://p1.liveauctioneers.com/7302/200090/101212999_1_x.jpg?quality=80&version=1618099142,https://www.liveauctioneers.com/item/101212999_germany-nazi-era-cards-and-ephemera-grooup-of-8,https://www.liveauctioneers.com/auctioneer/7302/gold-eagle-auctions/
Silver Nazi ring w/ eagle and swastika,"Oct 28, 2011",$50,Jewelry > Rings,Competing Bid,Antiques at Pompey Hollow LLC,https://p1.liveauctioneers.com/1165/26660/10122386_1_x.jpg?quality=80&version=1319459680,https://www.liveauctioneers.com/item/10122386_141-silver-nazi-ring-w-eagle-and-swastika,https://www.liveauctioneers.com/auctioneer/1165/antiques-at-pompey-hollow-llc/
Nazi flag pole emblem w/ swastika and eagle,"Oct 28, 2011",$60,,Internet Bid,Antiques at Pompey Hollow LLC,https://p1.liveauctioneers.com/1165/26660/10123026_1_x.jpg?quality=80&version=1319459744,https://www.liveauctioneers.com/item/10123026_144-nazi-flag-pole-emblem-w-swastika-and-eagle,https://www.liveauctioneers.com/auctioneer/1165/antiques-at-pompey-hollow-llc/
GERMAN NAZI NSDAP PARTY ENAMELED RING W/ SWASTIKA,"Oct 22, 2011",$130,Collectibles,Internet Bid,Pioneer Auction Gallery,https://p1.liveauctioneers.com/1056/26909/10125339_1_x.jpg?quality=80&version=1318997833,https://www.liveauctioneers.com/item/10125339_153-german-nazi-nsdap-party-enameled-ring-w-swastika,https://www.liveauctioneers.com/auctioneer/1056/pioneer-auction-gallery/
ORIGINAL NAZI INFANTRY ASSAULT BADGE,"Oct 27, 2011",,Collectibles > Historical Memorabilia,,Universal Live,https://p1.liveauctioneers.com/1011/26937/10135824_1_x.jpg?quality=80&version=1319224672,https://www.liveauctioneers.com/item/10135824_original-nazi-infantry-assault-badge,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
GERMAN NAZI MISMATCHED PAIR OF POLITICAL LEADER CO,"Oct 23, 2011",$20,"Collectibles > Coins, Currency &amp; Stamps",Competing Bid,Pioneer Auction Gallery,https://p1.liveauctioneers.com/1056/26939/10136066_1_x.jpg?quality=80&version=1319165745,https://www.liveauctioneers.com/item/10136066_479-german-nazi-mismatched-pair-of-political-leader-co,https://www.liveauctioneers.com/auctioneer/1056/pioneer-auction-gallery/
Nazi Swastika Decorative Metal Medallion - German WWII,"Jun 13, 2021",$200,Collectibles > Militaria &amp; War Memorabilia,Competing Bid,Valkyrie Historical Auctions,https://p1.liveauctioneers.com/7031/191835/101420415_1_x.jpg?quality=80&version=1620761297,https://www.liveauctioneers.com/item/101420415_nazi-swastika-decorative-metal-medallion-german-wwii,https://www.liveauctioneers.com/auctioneer/7031/valkyrie-historical-auctions/
WW2 GERMAN SPORTS BADGE W/SWASTIKA &amp; SWORD,"Apr 30, 2021",$18,Collectibles > Weapons &amp; Armor,Internet Bid,Rare Treasures,https://p1.liveauctioneers.com/6202/200663/101564043_1_x.jpg?quality=80&version=1618342505,https://www.liveauctioneers.com/item/101564043_ww2-german-sports-badge-wswastika-and-sword,https://www.liveauctioneers.com/auctioneer/6202/rare-treasures/
RARE WW2 GERMAN IRON CROSS SWASTIKA BADGE,"Apr 30, 2021",$55,Collectibles > Weapons &amp; Armor,Competing Bid,Rare Treasures,https://p1.liveauctioneers.com/6202/200663/101564172_1_x.jpg?quality=80&version=1618342505,https://www.liveauctioneers.com/item/101564172_rare-ww2-german-iron-cross-swastika-badge,https://www.liveauctioneers.com/auctioneer/6202/rare-treasures/
Nazi Office Wall Eagle and Swastika - Wood Carved,"Jun 13, 2021",,Collectibles > Militaria &amp; War Memorabilia,Competing Bid,Valkyrie Historical Auctions,https://p1.liveauctioneers.com/7031/191835/101575612_1_x.jpg?quality=80&version=1620761297,https://www.liveauctioneers.com/item/101575612_nazi-office-wall-eagle-and-swastika-wood-carved,https://www.liveauctioneers.com/auctioneer/7031/valkyrie-historical-auctions/
Unidentified Patriotic Belt Buckle With Swastika,"Jun 13, 2021",,Collectibles > Militaria &amp; War Memorabilia,Competing Bid,Valkyrie Historical Auctions,https://p1.liveauctioneers.com/7031/191835/101598275_1_x.jpg?quality=80&version=1620761297,https://www.liveauctioneers.com/item/101598275_unidentified-patriotic-belt-buckle-with-swastika,https://www.liveauctioneers.com/auctioneer/7031/valkyrie-historical-auctions/
RARE ORIG M16 EARLY NAZI FREIKORPS HELMET W/SWASTIKA,"Oct 31, 2011",,,,Universal Live,https://p1.liveauctioneers.com/1011/26994/10161807_1_x.jpg?quality=80&version=1319497983,https://www.liveauctioneers.com/item/10161807_rare-orig-m16-early-nazi-freikorps-helmet-wswastika,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
WWII Nazi SA Belt Buckle Sturmabteilung Orig,"Oct 31, 2011",,,,Universal Live,https://p1.liveauctioneers.com/1011/26994/10162066_1_x.jpg?quality=80&version=1319497983,https://www.liveauctioneers.com/item/10162066_wwii-nazi-sa-belt-buckle-sturmabteilung-orig,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
Rare signed German Documents signed by the Fuhrer+,"Oct 30, 2011",$950,Collectibles,Competing Bid,California Auctioneers,https://p1.liveauctioneers.com/872/26963/10164504_1_x.jpg?quality=80&version=1319233525,https://www.liveauctioneers.com/item/10164504_377-rare-signed-german-documents-signed-by-the-fuhrer,https://www.liveauctioneers.com/auctioneer/872/california-auctioneers/
German Nazi Third Reich Flag Pole Top NSDAP Swastika,"Jun 13, 2021",$300,Collectibles > Militaria &amp; War Memorabilia,Internet Bid,Valkyrie Historical Auctions,https://p1.liveauctioneers.com/7031/191835/101799424_1_x.jpg?quality=80&version=1620761297,https://www.liveauctioneers.com/item/101799424_german-nazi-third-reich-flag-pole-top-nsdap-swastika,https://www.liveauctioneers.com/auctioneer/7031/valkyrie-historical-auctions/
German WWII NS Frauenschaft badge,"Nov 19, 2011",$80,Collectibles > Historical Memorabilia,Internet Bid,Mohawk Arms Inc.,https://p1.liveauctioneers.com/1022/27037/10185428_1_x.jpg?quality=80&version=1319757044,https://www.liveauctioneers.com/item/10185428_46-german-wwii-ns-frauenschaft-badge,https://www.liveauctioneers.com/auctioneer/1022/mohawk-arms-inc/
German WWII Anschluss Medal Austria,"Nov 19, 2011",$50,Collectibles > Historical Memorabilia,Internet Bid,Mohawk Arms Inc.,https://p1.liveauctioneers.com/1022/27037/10185490_1_x.jpg?quality=80&version=1319757044,https://www.liveauctioneers.com/item/10185490_108-german-wwii-anschluss-medal-austria,https://www.liveauctioneers.com/auctioneer/1022/mohawk-arms-inc/
German WWII Sudentenland Annexation Medal,"Nov 19, 2011",$50,Collectibles > Historical Memorabilia,Internet Bid,Mohawk Arms Inc.,https://p1.liveauctioneers.com/1022/27037/10185491_1_x.jpg?quality=80&version=1319757044,https://www.liveauctioneers.com/item/10185491_109-german-wwii-sudentenland-annexation-medal,https://www.liveauctioneers.com/auctioneer/1022/mohawk-arms-inc/
GERMAN WWII NAZI TABLE RUNNER WITH SWASTIKAS,"Nov 20, 2011",$110,,Internet Bid,Affiliated Auctions,https://p1.liveauctioneers.com/368/27067/10204868_1_x.jpg?quality=80&version=1319836732,https://www.liveauctioneers.com/item/10204868_german-wwii-nazi-table-runner-with-swastikas,https://www.liveauctioneers.com/auctioneer/368/affiliated-auctions/
1938 Edition of Mein Kampf Adolf Hitler,"Jun 13, 2021",$250,Collectibles > Militaria &amp; War Memorabilia,Competing Bid,Valkyrie Historical Auctions,https://p1.liveauctioneers.com/7031/191835/102110746_1_x.jpg?quality=80&version=1620761297,https://www.liveauctioneers.com/item/102110746_1938-edition-of-mein-kampf-adolf-hitler,https://www.liveauctioneers.com/auctioneer/7031/valkyrie-historical-auctions/
TIPPCO NAZI PLANE WITH MICKEY MOUSE NOSE ART,"Nov 12, 2011","$2,700",,Competing Bid,Mosby &amp; Co. Auctions,https://p1.liveauctioneers.com/1079/27091/10214712_1_x.jpg?quality=80&version=1320101253,https://www.liveauctioneers.com/item/10214712_740-tippco-nazi-plane-with-mickey-mouse-nose-art,https://www.liveauctioneers.com/auctioneer/1079/mosby-and-co-auctions/
1936 NAZI 5RM COIN-EAGLE SWASTIKA HINDENBURG 90% SILVER,"Nov 08, 2011",$23,Collectibles,Internet Bid,Universal Live,https://p1.liveauctioneers.com/1011/27111/10231227_1_x.jpg?quality=80&version=1320202386,https://www.liveauctioneers.com/item/10231227_1936-nazi-5rm-coin-eagle-swastika-hindenburg-90-silver,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
GERMAN NAZI 25 YEAR FAITHFUL SERVICE DECORATION,"Nov 06, 2011",$55,Collectibles,Internet Bid,Pioneer Auction Gallery,https://p1.liveauctioneers.com/1056/27145/10247669_1_x.jpg?quality=80&version=1320310512,https://www.liveauctioneers.com/item/10247669_202-german-nazi-25-year-faithful-service-decoration,https://www.liveauctioneers.com/auctioneer/1056/pioneer-auction-gallery/
"GERMAN NAZI WING, SS EAGLE AND SWASTIKA PIN","Nov 06, 2011",$50,Jewelry > Brooches &amp; Pins,Internet Bid,Pioneer Auction Gallery,https://p1.liveauctioneers.com/1056/27145/10247687_1_x.jpg?quality=80&version=1320310512,https://www.liveauctioneers.com/item/10247687_220-german-nazi-wing-ss-eagle-and-swastika-pin,https://www.liveauctioneers.com/auctioneer/1056/pioneer-auction-gallery/
CASED GERMAN NAZI WAFFEN SS 18 YEAR LONG SERVICE D,"Nov 06, 2011",$350,"Collectibles > Coins, Currency &amp; Stamps",Competing Bid,Pioneer Auction Gallery,https://p1.liveauctioneers.com/1056/27145/10247747_1_x.jpg?quality=80&version=1320310512,https://www.liveauctioneers.com/item/10247747_283-cased-german-nazi-waffen-ss-18-year-long-service-d,https://www.liveauctioneers.com/auctioneer/1056/pioneer-auction-gallery/
Large NAZI German Reichsadler Eagle Swastika Pin,"Jun 05, 2021",$45,Jewelry > Brooches &amp; Pins,Internet Bid,South Florida Auction &amp; Estate Sale Services Inc,https://p1.liveauctioneers.com/6629/202371/102482048_1_x.jpg?quality=80&version=1619696464,https://www.liveauctioneers.com/item/102482048_large-nazi-german-reichsadler-eagle-swastika-pin,https://www.liveauctioneers.com/auctioneer/6629/south-florida-auction-and-estate-sale-services-inc/
NAZI German Reichsadler Eagle Swastika Tag/Fob,"Jun 05, 2021",$35,Collectibles,Internet Bid,South Florida Auction &amp; Estate Sale Services Inc,https://p1.liveauctioneers.com/6629/202371/102482049_1_x.jpg?quality=80&version=1619696464,https://www.liveauctioneers.com/item/102482049_nazi-german-reichsadler-eagle-swastika-tagfob,https://www.liveauctioneers.com/auctioneer/6629/south-florida-auction-and-estate-sale-services-inc/
WW2 Nazi German Eagle &amp; Swastika Uniform Lapel Pin,"Jun 05, 2021",$60,Collectibles,Internet Bid,South Florida Auction &amp; Estate Sale Services Inc,https://p1.liveauctioneers.com/6629/202371/102482221_1_x.jpg?quality=80&version=1619696464,https://www.liveauctioneers.com/item/102482221_ww2-nazi-german-eagle-and-swastika-uniform-lapel-pin,https://www.liveauctioneers.com/auctioneer/6629/south-florida-auction-and-estate-sale-services-inc/
